Date,BallType,BallNumber,Position,PowerPlay,Year,YearMonth
2010-02-03,Main,37,1,2,2010,2010-02
2010-02-06,Main,22,1,3,2010,2010-02
2010-02-10,Main,29,1,5,2010,2010-02
2011-01-01,Main,37,1,2,2011,2011-01
2011-01-05,Main,40,1,5,2011,2011-01
2011-01-08,Main,7,1,2,2011,2011-01
2012-01-04,Main,50,1,4,2012,2012-01
2012-01-07,Main,3,1,5,2012,2012-01
2012-01-11,Main,47,1,2,2012,2012-01
2013-01-02,Main,20,1,,2013,2013-01
2013-01-05,Main,30,1,,2013,2013-01
2013-01-09,Main,11,1,,2013,2013-01
2014-01-01,Main,52,1,,2014,2014-01
2014-01-04,Main,19,1,,2014,2014-01
2014-01-08,Main,39,1,,2014,2014-01
2015-01-03,Main,4,1,3,2015,2015-01
2015-01-07,Main,47,1,2,2015,2015-01
2015-01-10,Main,19,1,5,2015,2015-01
2016-01-02,Main,42,1,2,2016,2016-01
2016-01-06,Main,47,1,3,2016,2016-01
2016-01-09,Main,32,1,3,2016,2016-01
2017-01-04,Main,17,1,3,2017,2017-01
2017-01-07,Main,37,1,2,2017,2017-01
2017-01-11,Main,1,1,2,2017,2017-01
2018-01-03,Main,42,1,3,2018,2018-01
2018-01-06,Main,12,1,3,2018,2018-01
2018-01-10,Main,7,1,5,2018,2018-01
2019-01-02,Main,56,1,2,2019,2019-01
2019-01-05,Main,15,1,2,2019,2019-01
2019-01-09,Main,19,1,3,2019,2019-01
2020-01-01,Main,49,1,2,2020,2020-01
2020-01-04,Main,54,1,2,2020,2020-01
2020-01-08,Main,7,1,4,2020,2020-01
2021-01-02,Main,3,1,2,2021,2021-01
2021-01-06,Main,1,1,3,2021,2021-01
2021-01-09,Main,45,1,2,2021,2021-01
2022-01-01,Main,39,1,2,2022,2022-01
2022-01-03,Main,2,1,2,2022,2022-01
2022-01-05,Main,25,1,2,2022,2022-01
2023-01-02,Main,9,1,2,2023,2023-01
2023-01-04,Main,68,1,3,2023,2023-01
2023-01-07,Main,45,1,3,2023,2023-01
2024-01-01,Main,21,1,3,2024,2024-01
2024-01-03,Main,48,1,10,2024,2024-01
2024-01-06,Main,4,1,2,2024,2024-01
2025-01-01,Main,66,1,3,2025,2025-01
2025-01-04,Main,43,1,2,2025,2025-01
2025-01-06,Main,17,1,2,2025,2025-01
2010-02-03,Main,52,2,2,2010,2010-02
2010-02-06,Main,54,2,3,2010,2010-02
2010-02-10,Main,8,2,5,2010,2010-02
2011-01-01,Main,47,2,2,2011,2011-01
2011-01-05,Main,22,2,5,2011,2011-01
2011-01-08,Main,52,2,2,2011,2011-01
2012-01-04,Main,35,2,4,2012,2012-01
2012-01-07,Main,24,2,5,2012,2012-01
2012-01-11,Main,5,2,2,2012,2012-01
2013-01-02,Main,18,2,,2013,2013-01
2013-01-05,Main,49,2,,2013,2013-01
2013-01-09,Main,20,2,,2013,2013-01
2014-01-01,Main,48,2,,2014,2014-01
2014-01-04,Main,58,2,,2014,2014-01
2014-01-08,Main,28,2,,2014,2014-01
2015-01-03,Main,43,2,3,2015,2015-01
